customer_id,customer_first_name,customer_last_name,category_name,customer_segment,customer_city,customer_state,customer_country,customer_region,delivery_status,order_date,shipping_type,order_item_discount,order_quantity,product_name,order_id,days_for_shipment_scheduled,days_for_shipment_real,ship_date,sales_per_order,profit_per_order
CUST1000,Liam,Smith,Clothing,Corporate,Kolkata,Telangana,India,South,Shipped,2024-08-12,Same Day,0.0,3,T-Shirt,ORD10000,2,0,2024-08-12,345.11,72.24
CUST1001,Sophia,Davis,Books,Consumer,Chennai,Maharashtra,India,East,Returned,2023-03-16,Standard Class,0.02,1,Fiction Novel,ORD10001,6,8,2023-03-24,860.86,50.58
CUST1002,Ava,Brown,Beauty,Consumer,Chennai,West Bengal,India,East,Delivered,2023-02-11,First Class,0.08,4,Shampoo,ORD10002,2,3,2023-02-14,3967.29,648.21
CUST1003,David,Brown,Toys,Home Office,Delhi,West Bengal,India,East,Delivered,2024-02-26,Standard Class,0.2,4,Action Figure,ORD10003,3,2,2024-02-28,1856.69,240.7
CUST1004,Liam,Jones,Electronics,Corporate,Kolkata,Telangana,India,West,Delivered,2023-06-30,Second Class,0.27,4,Laptop,ORD10004,8,10,2023-07-10,679.89,138.96
CUST1005,Isabella,Davis,Electronics,Home Office,Mumbai,Telangana,India,East,Shipped,2024-06-28,Same Day,0.14,1,Headphones,ORD10005,5,4,2024-07-02,4982.61,287.42
CUST1006,Michael,Jones,Home & Kitchen,Home Office,Hyderabad,Karnataka,India,West,Shipped,2023-03-12,Standard Class,0.18,3,Vacuum Cleaner,ORD10006,6,4,2023-03-16,3957.53,515.82
CUST1007,Liam,Davis,Toys,Home Office,Bangalore,Tamil Nadu,India,South,Cancelled,2024-07-21,Second Class,0.06,4,Doll,ORD10007,7,9,2024-07-30,2102.83,441.2
CUST1008,Ava,Martinez,Sports,Consumer,Delhi,Karnataka,India,East,Returned,2023-04-15,Same Day,0.24,4,Yoga Mat,ORD10008,5,6,2023-04-21,4134.4,638.93
CUST1009,David,Smith,Books,Consumer,Bangalore,Karnataka,India,South,Shipped,2023-07-19,Second Class,0.29,4,Biography,ORD10009,6,5,2023-07-24,3434.96,549.62
CUST1010,Sophia,Martinez,Home & Kitchen,Corporate,Mumbai,Tamil Nadu,India,North,Delivered,2023-04-11,Standard Class,0.08,2,Vacuum Cleaner,ORD10010,5,3,2023-04-14,3970.88,275.71
CUST1011,Ava,Rodriguez,Sports,Corporate,Mumbai,Maharashtra,India,South,Delivered,2023-11-03,Second Class,0.15,1,Yoga Mat,ORD10011,3,5,2023-11-08,4094.51,313.09
CUST1012,Ava,Garcia,Clothing,Home Office,Chennai,Karnataka,India,North,Shipped,2024-08-08,First Class,0.03,1,Dress,ORD10012,5,4,2024-08-12,515.17,95.51
CUST1013,Michael,Williams,Books,Home Office,Mumbai,Karnataka,India,South,Shipped,2024-01-12,Same Day,0.17,1,Textbook,ORD10013,2,1,2024-01-13,3152.57,583.25
